City,County
 Aberdeen,Grays Harbor
 Airway Heights,Spokane
 Albion,Whitman
 Algona,King
 Almira,Lincoln
 Anacortes,Skagit
 Arlington,Snohomish
 Asotin,Asotin
 Auburn,King
 Aukeen,King
 Bainbridge Island,Kitsap
 Barstow,Ferry
 Battle Ground,Clark
 Bellevue,King
 Bellingham,Whatcom
 Benton City,Benton
 Bingen,Klickitat
 Black Diamond,King
 Blaine,Whatcom
 Bonney Lake,Pierce
 Bothell,King
 Bremerton,Kitsap
 Brewster,Okanogan
 Bridgeport,Douglas
 Brier,Snohomish
 Buckley,Pierce
 Bucoda,Thurston
 Burien,King
 Burlington,Skagit
 Camano Island,Island
 Camas,Clark
 Carbonado,Pierce
 Carnation,King
 Cascade,Snohomish
 Cashmere,Chelan
 Castle Rock,Cowlitz
 Cathlamet,Wahkiakum
 Centralia,Lewis
 Chehalis,Lewis
 Chelan,Chelan
 Cheney,Spokane
 Chewelah,Stevens
 Clarkston,Asotin
 Cle Elum,Kittitas
 Clyde Hill,King
 Colfax,Whitman
 College Place,Walla Walla
 Colton,Whitman
 Colville,Stevens
 Concrete,Skagit
 Connell,Franklin
 Cosmopolis,Grays Harbor
 Coulee City,Grant
 Coulee Dam,Okanogan
 Coupeville,Island
 Cusick,Pend Oreille
 Darrington,Snohomish
 Davenport,Lincoln
 Dayton,Columbia
 Deer Park,Spokane
 Deming,Whatcom
 Des Moines,King
 DuPont,Pierce
 Duvall,King
 East Wenatchee,Douglas
 Eatonville,Pierce
 Edgewood,Pierce
 Edmonds,Snohomish
 Electric City,Grant
 Ellensburg,Kittitas
 Elma,Grays Harbor
 Elmer City,Okanogan
 Enumclaw,King
 Ephrata,Grant
 Everett,Snohomish
 Everson,Whatcom
 Federal Way,King
 Ferndale,Whatcom
 Fife,Pierce
 Fircrest,Pierce
 Forks,Clallam
 Friday Harbor,San Juan
 Garfield,Whitman
 George,Grant
 Gig Harbor,Pierce
 Gold Bar,Snohomish
 Goldendale,Klickitat
 Grand Coulee,Grant
 Grandview,Yakima
 Granger,Yakima
 Granite Falls,Snohomish
 Harrah,Yakima
 Harrington,Lincoln
 Hoquiam,Grays Harbor
 Hunts Point,King
 Ilwaco,Pacific
 Index,Snohomish
 Ione,Pend Oreille
 Issaquah,King
 Kahlotus,Franklin
 Kalama,Cowlitz
 Kelso,Cowlitz
 Kennewick,Benton
 Kent,King
 Kettle Falls,Stevens
 Kingston,Kitsap
 Kirkland,King
 Kittitas,Kittitas
 La Push,Clallam
 Lacey,Thurston
 LaConner,Skagit
 Lake Forest Park,King
 Lake Stevens,Snohomish
 Lakewood,Pierce
 Langley,Island
 Leavenworth,Chelan
 Long Beach,Pacific
 Longview,Cowlitz
 Lynden,Whatcom
 Lynnwood,Snohomish
 Mabton,Yakima
 Maple Valley,King
 Marysville,Snohomish
 Mattawa,Grant
 McCleary,Grays Harbor
 Medical Lake,Spokane
 Medina,King
 Mercer Island,King
 Metaline,Pend Oreille
 Metaline Falls,Pend Oreille
 Mill Creek,Snohomish
 Milton,Pierce
 Monroe,Snohomish
 Montesano,Grays Harbor
 Morton,Lewis
 Moses Lake,Grant
 Mossyrock,Lewis
 Mount Vernon,Skagit
 Mountlake Terrace,Snohomish
 Moxee City,Yakima
 Mukilteo,Snohomish
 Napavine,Lewis
 Neah Bay,Clallam
 Nespelem,Okanogan
 Newport,Pend Oreille
 Nooksack,Whatcom
 Normandy Park,King
 North Bend,King
 North Bonneville,Skamania
 Northport,Stevens
 Oak Harbor,Island
 Oaksdale,Whitman
 Oakville,Grays Harbor
 Ocean Shores,Grays Harbor
 Odessa,Lincoln
 Okanogan,Okanogan
 Olympia,Thurston
 Omak,Okanogan
 Oroville,Okanogan
 Orting,Pierce
 Othello,Adams
 Pacific,King
 Palouse,Whitman
 Pasco,Franklin
 Pateros,Okanogan
 Pe Ell,Lewis
 Pomeroy,Garfield
 Port Angeles,Clallam
 Port Orchard,Kitsap
 Port Townsend,Jefferson
 Poulsbo,Kitsap
 Prescott,Walla Walla
 Prosser,Benton
 Pullman,Whitman
 Puyallup,Pierce
 Quincy,Grant
 Rainier,Thurston
 Raymond,Pacific
 Reardan,Lincoln
 Redmond,King
 Renton,King
 Republic,Ferry
 Richland,Benton
 Ridgefield,Clark
 Ritzville,Adams
 Riverside,Okanogan
 Rock Island,Douglas
 Rockwood,Douglas
 Rollingbay,Kitsap
 Rosalia,Whitman
 Roslyn,Kittitas
 Roy,Pierce
 Royal City,Grant
 Ruston,Pierce
 SeaTac,King
 Seattle,King
 Sedro Woolley,Skagit
 Selah,Yakima
 Sequim,Clallam
 Shelton,Mason
 Shoreline,King
 Silverdale,Kitsap
 Skykomish,King
 Snohomish,Snohomish
 Snoqualmie,King
 Soap Lake,Grant
 South Bend,Pacific
 South Prairie,Pierce
 Spokane,Spokane
 Sprague,Lincoln
 Springdale,Stevens
 Stanwood,Snohomish
 Steilacoom,Pierce
 Stevenson,Skamania
 Sultan,Snohomish
 Sumas,Whatcom
 Sumner,Pierce
 Sunnyside,Yakima
 Suquamish,Kitsap
 Tacoma,Pierce
 Taholah,Grays Harbor
 Tekoa,Whitman
 Tenino,Thurston
 Tokeland,Pacific
 Toledo,Lewis
 Tonasket,Okanogan
 Toppenish,Yakima
 Tukwila,King
 Tulalip,Snohomish
 Tumwater,Thurston
 Twisp,Okanogan
 Union Gap,Yakima
 Uniontown,Whitman
 Usk,Pend Oreille
 Vader,Lewis
 Vancouver,Clark
 Vashon Island,King
 Waitsburg,Walla Walla
 Walla Walla,Walla Walla
 Wapato,Yakima
 Warden,Grant
 Washougal,Clark
 Waterville,Douglas
 Wellpinit,Stevens
 Wenatchee,Chelan
 West Richland,Benton
 Westport,Grays Harbor
 White Salmon,Klickitat
 Wilbur,Lincoln
 Wilkeson,Pierce
 Winlock,Lewis
 Winthrop,Okanogan
 Woodinville,King
 Woodland,Cowlitz
 Woodway,Snohomish
 Yacolt,Clark
 Yakima,Yakima
 Yarrow Point,King
 Yelm,Thurston
 Zillah,Yakima
